state (Emission order)	H3K27ac	H4K5ac	H3K18ac	H2BK5ac	H4K91ac	H2BK12ac	H2BK15ac	H2AK5ac	H2BK20ac	H2BK120ac	H3K4ac	H3K14ac	H3K23ac	H3K56ac	H3K23me2	H4K20me1	H3K79me2	H3K79me1	H3K36me3	H3K9me3	H3K27me3	DNase	H2A.Z	H4K8ac	H3K9ac	H3K4me3	H3K4me2	H3K4me1
28	0.03924631677346757	0.06361755962930224	0.02990729150891446	0.022070772563025476	0.019069632159989077	0.03585984063314138	0.014249164779340682	0.007673395142878859	0.02048594005612873	0.021376407288254483	0.01722953008949819	0.02398164266326598	0.016008587266743007	0.009261823826888307	0.00499504692604837	0.0010729465306685696	6.460375867958516E-4	4.7168892418812674E-4	5.9149758138596666E-18	0.0011786212146152229	9.463758326506695E-4	0.022536358203531937	0.06784026523117814	0.030390553695524257	0.007559801624168178	3.848645620374722E-6	0.10422738756140032	0.2642601602734881
29	0.025666148716264974	0.03456636660758719	0.03226492874170571	0.1045600196728567	0.049416412832285914	0.060481452182865394	0.04487238532150735	0.09028571646091142	0.02001800996812896	0.01637102566014945	0.03894450109671854	0.053913546029025365	0.06888594196152625	0.018495865631495585	0.02010526316846862	0.21442662429114576	0.22733460076056908	0.5089680951271097	0.04552444355186144	0.006618638783863712	0.0038556009613384674	0.02457026623082127	0.003353139655007684	0.0831201684067777	0.022247176745657356	1.5452051623844083E-4	0.023694322562986713	0.17160543038175682
30	0.023569846330513768	0.12134514262676552	0.1600523365533699	0.3685217325334524	0.4838282625824929	0.6269149542726369	0.5577521919143803	0.5263070669640769	0.3339475274869953	0.12293174342912898	0.2506915107323918	0.2350908540126148	0.21828977471312094	0.04674454193525535	0.09524833773636264	0.11503775635212588	0.16158615021585812	0.15776823641608376	0.023962464213793472	0.03799247866084784	0.0633577598977368	0.013462663604866	0.030964603591226388	0.13109188119845996	0.04734858833512408	3.1943047903035206E-4	0.02591511510780741	0.119008454932203
31	0.004839012777086004	0.009090045212369008	0.003554202934039439	0.00697054133440297	0.004702861375779425	0.010465473974620668	0.006696605474999661	0.006167450054948434	0.006017852219059092	0.002535060906820955	0.003913402831842629	0.003536798500489659	0.00279830316076269	0.003646908455767495	0.005492199816601735	0.006299178145364758	0.00122645718188409	0.005110677208474663	0.001647453697865559	0.0110357958731128	0.004708347729923468	0.9964301348765122	0.022290749576369017	0.0341142318845711	0.003121406570719829	1.701726194974237E-4	0.052198766704407956	0.05956189020191295
32	0.00762716197038237	8.633076442867878E-4	0.001031813606257514	0.015431460463373535	0.015505540104363048	0.010507047103726174	0.009174771667244968	0.027415686272717503	0.04859830286249612	0.06900738379728573	0.0599073735160806	0.2379146990913261	0.3972224916606228	0.6280999953578363	0.8092512509744142	0.5916983627833551	0.4134782939116768	0.2080165354140365	0.2084902533146368	0.9865611810699744	0.1737339025327927	0.13196608995070352	0.01000186969684867	0.019824621611981393	0.026129590091026483	0.013757475999049642	0.004635351425391309	0.0018698229330589306
33	2.401281717420191E-4	2.5566986788301576E-4	1.312595380063852E-4	5.4756346020512E-4	9.792618718375884E-4	8.704474804646461E-4	0.0014486750152959802	0.0019517685019859344	0.001502522449478203	9.390506827332686E-4	0.0011548739422384056	0.0032161103016752667	0.0035444009169581328	0.003195476508535187	0.004972238610227238	8.911330429035373E-4	0.007656955688580233	0.0018155717782954656	0.019444804176986477	0.7586188184241446	0.004729578754602191	0.008314852622059717	0.002355200590302128	0.004897325455732754	3.028172039947287E-4	3.013443473921704E-4	3.423597151109406E-4	1.7552865117697269E-4
34	0.0024359740305776737	0.0019331727631345496	0.0010037835332436954	0.0061684373844610885	0.0030727094392643947	0.003336441490035354	0.0024881842983398568	0.004391963812830729	0.002753854959141648	0.0014911866743494992	0.0023950260798371163	0.002316868005287339	0.0032319410872435348	0.0033388172436735627	0.004788817270072809	0.0076007736764558635	0.07522729833325964	0.06384647689956947	0.6580191610119192	0.7077695780166908	0.006794802345804113	0.009709549683876492	0.0017026708002757522	0.011997281348977762	9.367415797828767E-4	8.435825573915868E-4	0.0010108247209489683	4.924716364582102E-4
35	0.0160372329195123	0.021732599917212523	0.019415432711289635	0.06421248626497424	0.07675411760373123	0.0722659539181059	0.0685772001209993	0.08772522017619208	0.07637378321325776	0.032553742991465684	0.041894181924923196	0.04353978837246948	0.028946992791238454	0.012383906365036956	0.017638306007023097	0.011068264711439194	0.06129977262981717	0.028797976729384972	0.10974112343069681	0.6612271306297518	0.03211190697890298	0.029545974595775338	0.017760553246033824	0.07443575039652466	0.005905063615359478	0.004594978857023652	0.01313987128110775	0.012793131162211098
36	6.519192168562626E-5	5.378225049120249E-5	1.5731123526409632E-12	1.979376319969825E-4	2.460252320616339E-4	1.4083155108550807E-4	3.181223665107317E-4	6.268699581962163E-4	2.9073669466683885E-4	2.375646257694593E-4	5.158126787178758E-4	9.243073641369652E-4	5.555555458256409E-4	0.0016182281300921573	0.001571933735338998	1.9075647621231848E-4	0.0012505355583740496	3.0013426906643745E-4	0.0017083065798448689	0.16000628343889958	5.401552340816673E-4	3.5639223909456926E-4	0.0010577052158257773	0.0013671902284086968	7.233093469598461E-5	1.2411708155468122E-5	7.691417132417364E-5	3.3912298042909536E-5
37	0.011569267121336685	0.01221044890766549	0.10928391947686167	0.006392018276639624	0.009658162487975257	0.03712029726129876	0.009952961005353572	6.981887765351141E-4	0.004951542171400607	0.0022620469611525583	0.005693812986693963	0.020099149515055748	0.013192939913704946	0.010264972414604532	0.49335936698456206	0.031866443111972356	0.00373680168817877	0.009037828888121128	0.01134082522130455	0.009486307602497569	0.9348547846520813	0.6020014642741928	0.17536111776508026	0.21164179988988582	0.17020854282993017	0.9996803554646938	0.995527771275383	0.33402372126392244
38	0.09185793245367897	0.2627388834626375	0.6277513001690569	0.198290892023337	0.35452450540697494	0.4865740891181134	0.253301203162008	0.0977234207902571	0.15483125384574908	0.08442691605574403	0.13424143906802852	0.20694322244897373	0.12759454434571393	0.09481505606371679	0.7612944004249962	0.11769740912928613	0.04995229158199272	0.08846682851981562	0.019988935822182745	0.021306327357453112	0.9787429942819418	0.6543858643028704	0.27511861995947123	0.47571838441181963	0.5129573857574881	0.9612166076882119	1.0	0.6729681839860412
39	0.3240417550090699	0.19941644916930162	0.3020754867756901	0.6661449326400516	0.6349692525008352	0.492560419203629	0.5841396875112078	0.5879008164103355	0.8442491907922239	0.8213599710469053	0.7086743927544911	0.7671326987679065	0.8220435851577395	0.8948648086648983	0.9548622948934922	0.8816264092956884	0.9652382547696127	0.9809173145757364	0.8611150127626046	0.9651074579009358	0.9215112505286578	0.719118476291465	0.3092829387050194	0.26143812363704877	0.7728241494172562	0.46161538597027846	0.25143968060920585	0.323461033149205
40	0.010431435570422202	0.07720520341412096	0.2374766568014504	0.12006643671944238	0.31729657968500663	0.5222648942342377	0.36806225874925735	0.35490517766564345	0.26743681485861975	0.09835594673282072	0.1458550518294401	0.11257963700014799	0.10382528948391082	0.017928803215231135	0.048093649437054825	0.18234171326804888	0.051164886051094025	0.05566501616503425	0.01366311468009871	0.02142718146748178	0.9597000108266108	0.08117625194673997	0.020816228630794662	0.10558008782943522	0.023149185719653312	0.00692258153975142	0.36481188451876656	0.5501753466140158
